%time,field.data
1547890519837679621,41.7846679688
1547890519870264633,41.7846679688
1547890519902685864,41.7846679688
1547890519935195682,41.7846679688
1547890519968115332,41.7846679688
1547890520000270855,41.7846679688
1547890520033940660,41.7846679688
1547890520066751295,41.7846679688
1547890520099170472,41.7846679688
1547890520102952079,41.7846679688
1547890520104787945,41.7846679688
1547890520107188718,41.7846679688
1547890520111081525,41.7846679688
1547890520112916716,41.7846679688
1547890520115544208,41.7846679688
1547890520119530864,41.7846679688
1547890520121465318,41.7846679688
1547890520123692017,41.7846679688
1547890520127809552,41.7846679688
1547890520130131336,41.7846679688
1547890520131946573,41.7846679688
1547890520135777752,41.7846679688
1547890520137769206,41.7846679688
1547890520140117160,41.7846679688
1547890520144100973,41.7846679688
1547890520145539007,41.7846679688
1547890520147927939,41.7846679688
1547890520151946557,41.7846679688
1547890520153548836,41.7846679688
1547890520156119853,41.7846679688
1547890520160178824,41.7846679688
1547890520161755292,41.7846679688
1547890520164228770,41.7846679688
1547890520168344003,41.7846679688
1547890520169950273,41.7846679688
1547890520172550549,41.7846679688
1547890520176530416,41.7846679688
1547890520177966272,41.7846679688
1547890520180693488,41.7846679688
1547890520184724634,41.7846679688
1547890520186268770,41.7846679688
1547890520188802553,41.7846679688
1547890520190425398,41.7846679688
1547890520193176752,41.7846679688
1547890520196883716,41.7846679688
1547890520198364027,41.7846679688
1547890520202196270,41.7846679688
1547890520205069994,41.7846679688
1547890520206448755,41.7846679688
1547890520210107916,41.7846679688
1547890520213182953,41.7846679688
1547890520214612300,41.7846679688
1547890520218308809,41.7846679688
1547890520221485486,41.7846679688
1547890520222846506,41.7846679688
1547890520226421763,41.7846679688
1547890520229596460,41.7846679688
1547890520231018078,41.7846679688
1547890520234705183,41.7846679688
1547890520237729960,41.7846679688
1547890520239080609,41.7846679688
1547890520241950599,41.7846679688
1547890520245963164,41.7846679688
1547890520247268466,41.7846679688
1547890520249976202,41.7846679688
1547890520254245382,41.7846679688
1547890520255613760,41.7846679688
1547890520258353341,41.7846679688
1547890520262340368,41.7846679688
1547890520263804782,41.7846679688
1547890520266467333,41.7846679688
1547890520270568940,41.7846679688
1547890520272040623,41.7846679688
1547890520274895217,41.7846679688
1547890520278822042,41.7846679688
1547890520280546677,41.7846679688
1547890520283172762,41.7846679688
1547890520287451251,41.7846679688
1547890520289191298,41.7846679688
1547890520291673800,41.7846679688
1547890520295772265,41.7846679688
1547890520297510883,41.7846679688
1547890520299990552,41.7846679688
1547890520303828213,41.7846679688
1547890520306058146,41.7846679688
1547890520308139555,41.7846679688
1547890520312047503,41.7846679688
1547890520314005189,41.7846679688
1547890520316261678,41.7846679688
1547890520320208945,41.7846679688
1547890520322159942,41.7846679688
1547890520324517103,41.7846679688
1547890520328075460,41.7846679688
1547890520329650087,41.7846679688
1547890520332222463,41.7846679688
1547890520336171244,41.7846679688
1547890520337556197,41.7846679688
1547890520340335179,41.7846679688
1547890520344331475,41.7846679688
1547890520345672526,41.7846679688
1547890520348500303,41.7846679688
